date,rings,red_star_rings,diamonds,level,high_score,character_count
2023_Wednesday_May_17th,0,0,0,0,0,0
2023_Thursday_May_18th,240,26,1,7,106380,2
2023_Friday_May_19th,1739,0,21,11,167544,3
2023_Saturday_May_20th,1416,15,61,12,277662,3
2023_Sunday_May_21st,2156,31,61,14,558194,5
2023_Monday_May_22nd,431,6,360,16,613952,6
2023_Tuesday_May_23rd,800,47,210,19,613952,7
2023_Wednesday_May_24th,60,25,910,20,637340,8
2023_Thursday_May_25th,191,54,275,22,637340,9
2023_Friday_May_26th,199,7,155,23,637340,11
2023_Saturday_May_27th,1348,14,65,24,637340,11
2023_Sunday_May_28th,174,29,235,25,1046592,11
2023_Monday_May_29th,839,36,160,25,1046592,11
2023_Tuesday_May_30th,323,37,145,25,1046592,11
2023_Wednesday_May_31st,2258,55,280,26,1046592,11
2023_Thursday_June_1st,654,59,50,26,1046592,11
2023_Friday_June_2nd,1,6,465,27,1046592,12
2023_Saturday_June_3rd,785,8,145,27,1046592,12
2023_Sunday_June_4th,739,10,455,28,1070388,12
2023_Monday_June_5th,11585,22,50,29,1252664,13
2023_Tuesday_June_6th,30998,24,65,29,1252664,13
2023_Wednesday_June_7th,45499,26,35,29,1252664,13
2023_Thursday_June_8th,60332,33,125,30,1252664,13
2023_Friday_June_9th,66093,43,165,30,1252664,14
2023_Saturday_June_10th,76400,45,465,30,1252664,14
2023_Sunday_June_11th,81687,57,525,30,1379400,14
2023_Monday_June_12th,105721,64,125,31,1379400,14
2023_Tuesday_June_13th,112052,78,55,31,1379400,14
2023_Wednesday_June_14th,120481,85,15,31,1379400,14
2023_Thursday_June_15th,131383,87,30,31,1379400,14
2023_Friday_June_16th,140047,94,50,32,1379400,15
2023_Saturday_June_17th,138989,104,75,32,1379400,16
2023_Sunday_June_18th,149383,111,30,32,1379400,16
2023_Monday_June_19th,153033,113,105,32,1379400,16
2023_Tuesday_June_20th,160001,115,215,32,1379400,16
2023_Wednesday_June_21st,166677,133,40,32,1379400,16
2023_Thursday_June_22nd,171903,135,220,32,1379400,16
2023_Friday_June_23rd,174333,137,270,32,1379400,16
2023_Saturday_June_24th,177094,147,295,32,1379400,16
